Elevation (m);Surface Temperature (C);Moho Depth (m);Curie Depth (Km);Magnetic Anomaly (nT)
76.2;27.819;42348.74913;34;24.083
76.2;27.819;42416.54585;34;27.2173
76.2;27.819;42407.69945;34;25.5681
77.4192;27.812904;42410.4455;34;25.5681
75.5904;27.822048;42418.66856;34;25.5681
75.8952;27.820524;42404.0644;34;25.5681
74.9808;27.825096;42381.46435;34;25.5681
75.8952;27.820524;42392.62582;34;25.5681
76.2;27.819;42346.04317;34;24.083
75.2856;27.823572;42442.11613;34;25.5681
75.5904;27.822048;42387.80299;34;25.5681
76.2;27.819;42396.16665;34;25.5681
76.2;27.819;42315.32659;34;22.1801
72.5424;27.837288;42398.34255;34;25.5681
76.2;27.819;42366.4894;34;25.5681
68.58;27.8571;42443.71973;34;25.5681
74.9808;27.825096;42376.55745;34;25.5681
73.7616;27.831192;42415.4681;34;25.5681
81.0768;27.794616;42304.93043;34;22.1801
72.5424;27.837288;42384.79659;34;25.5681
71.9328;27.840336;42366.58774;34;25.5681
73.4568;27.832716;42367.82142;34;23.1461
80.4672;27.797664;42337.23903;34;22.1801
74.0664;27.829668;42325.69396;34;24.083
